destination,price,duration,features,product_type
hyderabad,0.0,1h 35m,IndiGo Mumbai non-stop BOM → HYD,flight
hyderabad,3133.87,6h,Ramoji Film City Day Tour,activity
cochin,12898.0,14h 25m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
rishikesh,1542.61,2h,Meditation & Yoga Retreat by Ganges,activity
cochin,12373.0,9h 10m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
cochin,12373.0,24h 45m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
mumbai,124933.0,7 nights,"Trident Nariman Point - Superior Room with Half Board | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Airport Shuttle, Garden, Free WiFi, Parking",hotels
banglore,8610.0,25h 50m,Vistara Kolkata 1 stop CCU → DEL → BLR,flight
goa,4328.26,4h,Scuba Diving at Grande Island with PADI Instructor,activity
goa,27233.0,1 nights,"Leela Goa - Sea View Room with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Spa, Airport Shuttle, Bar",hotels
cochin,2130.07,3h,Kerala Seafood Cooking Class,activity
hyderabad,9438.0,1 nights,"Taj Krishna - Standard Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Kids Club, Free WiFi, Business Center, Restaurant",hotels
new delhi,11087.0,12h 30m,Jet Airways Banglore 1 stop BLR → BOM → DEL,flight
cochin,13029.0,9h 20m,Jet Airways Delhi 2 stops DEL → JAI → BOM → COK,flight
new delhi,13355.0,15h 25m,Air India Banglore 2 stops BLR → BOM → NAG → DEL,flight
goa,1354.63,2h,Dolphin Spotting Sunset Cruise,activity
cochin,13014.0,18h 45m,Jet Airways Delhi 2 stops DEL → JAI → BOM → COK,flight
banglore,0.0,12h 45m,Air India Kolkata 2 stops CCU → BOM → GOI → BLR,flight
delhi,43490.0,3 nights,"Hyatt Regency Delhi - Family Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Business Center, Beach Access, Spa, Parking",hotels
goa,11790.0,1 nights,"Kenilworth Resort Goa - Sea View Room with Half Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Restaurant, Business Center, Swimming Pool",hotels
banglore,8586.0,25h 45m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
agra,1587.1,3h,Sunrise Taj Mahal Visit with Skip-the-Line,activity
kolkata,3597.0,2h 20m,IndiGo Chennai non-stop MAA → CCU,flight
banglore,9626.0,30h 30m,Air India Kolkata 2 stops CCU → BBI → BOM → BLR,flight
mumbai,14577.0,1 nights,"Novotel Mumbai - Family Room with Full Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Business Center, Conference Rooms, Airport Shuttle, Beach Access",hotels
hyderabad,32769.0,2 nights,"ITC Kohenur - Executive Room with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Terrace, Restaurant",hotels
goa,48515.0,2 nights,"Park Hyatt Goa - Superior Room with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Free WiFi, Restaurant, Airport Shuttle",hotels
cochin,6386.0,5h 45m,IndiGo Delhi 1 stop DEL → BLR → COK,flight
delhi,26182.0,1 nights,"The Leela Palace New Delhi - Superior Room with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Room Service, Business Center",hotels
banglore,14781.0,8h 30m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
rishikesh,2310.42,3h,White Water Rafting (16km Shivpuri to Rishikesh),activity
kolkata,319.7,1h,Kolkata Tram Heritage Ride,activity
rishikesh,4664.9,45m,Bungee Jumping at Mohan Chatti (India's Highest),activity
delhi,4885.0,2h 50m,SpiceJet Banglore non-stop BLR → DEL,flight
cochin,5406.0,19h 5m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
goa,23321.0,2 nights,"Novotel Goa - Lake View Room with All Inclusive | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Beach Access, Bar",hotels
hyderabad,16168.0,1 nights,"ITC Kohenur - Executive Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Swimming Pool, Kids Club, Business Center",hotels
jaipur,691.66,1h 15m,Sound & Light Show at Amer Fort (Evening),activity
delhi,82438.0,4 nights,"Taj Palace - Pool View Room with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Fitness Center, Business Center",hotels
cochin,8372.0,10h 15m,Air India Delhi 1 stop DEL → BOM → COK,flight
cochin,0.0,6h 15m,Air India Delhi 1 stop DEL → BOM → COK,flight
udaipur,392.9,1h,Traditional Rajasthani Puppet Show,activity
kolkata,5277.0,2h 20m,IndiGo Chennai non-stop MAA → CCU,flight
cochin,1224.97,2h 30m,Fort Kochi Heritage Walking Tour,activity
jaipur,19591.0,1 nights,"Marriott Jaipur - Sea View Room with Full Board | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Airport Shuttle, Parking",hotels
new delhi,7923.0,2h 35m,Vistara Banglore non-stop BLR → DEL,flight
banglore,8452.0,25h 55m,Vistara Kolkata 1 stop CCU → DEL → BLR,flight
banglore,42228.0,1 nights,"The Ritz-Carlton Bangalore - Family Room with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Conference Rooms, Terrace, Restaurant",hotels
banglore,8452.0,24h,Vistara Kolkata 1 stop CCU → DEL → BLR,flight
kolkata,3597.0,2h 20m,IndiGo Chennai non-stop MAA → CCU,flight
delhi,49322.0,1 nights,"Taj Palace - Presidential Suite with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Kids Club, Conference Rooms",hotels
hyderabad,14131.0,1 nights,"Novotel Hyderabad - Lake View Room with Half Board | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Bar, Airport Shuttle, Garden",hotels
cochin,0.0,12h 30m,Jet Airways Delhi 2 stops DEL → IXC → BOM → COK,flight
ladakh,3981.52,6h,High Altitude Trek to Stok Kangri Base,activity
banglore,53792.0,3 nights,"Vivanta Bengaluru - Sea View Room with Half Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Restaurant, Garden, Swimming Pool, Room Service",hotels
kerala,1327.65,3h,Traditional Snake Boat Race Experience,activity
cochin,13014.0,22h 55m,Jet Airways Delhi 2 stops DEL → JAI → BOM → COK,flight
delhi,2732.17,4h,Qutub Minar & Humayun's Tomb Tour,activity
jaipur,30523.0,1 nights,"Hilton Jaipur - Presidential Suite with All Inclusive | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Terrace, Room Service, Spa",hotels
cochin,13843.0,6h 35m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
cochin,12373.0,22h 5m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
banglore,35571.0,1 nights,"The Leela Palace Bangalore - Suite with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.9/5 | Includes: Restaurant, Kids Club, Bar",hotels
new delhi,12371.0,27h 45m,Vistara Banglore 1 stop BLR → AMD → DEL,flight
delhi,73952.0,4 nights,"Radisson Blu Delhi - Suite with Full Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Free WiFi, Spa, Conference Rooms, Bar",hotels
new delhi,0.0,5h 50m,Air India Banglore 1 stop BLR → BOM → DEL,flight
agra,11419.0,3 nights,"Hotel Taj Plaza - Deluxe Room with Bed & Breakfast | Rating: ⭐⭐⭐ 3.8/5 | Includes: Business Center, Beach Access",hotels
banglore,72159.0,5 nights,"Vivanta Bengaluru - Family Room with Full Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Business Center, Spa",hotels
cochin,15077.0,12h 35m,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
mumbai,75519.0,2 nights,"Taj Mahal Palace Hotel - Pool View Room with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Airport Shuttle, Room Service, Free WiFi, Parking",hotels
cochin,709.89,2h 30m,Fort Kochi Heritage Walking Tour,activity
mumbai,33126.0,1 nights,"Taj Mahal Palace Hotel - Executive Room with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Spa, Swimming Pool",hotels
agra,1819.35,3h,Mughlai Food Tasting Tour in Old Agra,activity
kerala,1973.51,4h,Tea Plantation Tour in Munnar with Tasting,activity
delhi,1824.31,3h,Old Delhi Food Walk - Chandni Chowk Special,activity
banglore,52386.0,4 nights,"JW Marriott Bangalore - Standard Room with Half Board | Rating: ⭐⭐⭐⭐ 4.5/5 | Includes: Kids Club, Swimming Pool, Airport Shuttle",hotels
delhi,29637.0,1 nights,"Taj Palace - Executive Room with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Business Center, Room Service",hotels
delhi,782.2,2h,Shopping Tour at Dilli Haat,activity
banglore,0.0,28h 20m,Air India Kolkata 2 stops CCU → BOM → COK → BLR,flight
banglore,4804.0,2h 35m,IndiGo Kolkata non-stop CCU → BLR,flight
delhi,2069.7,3h,Old Delhi Food Walk - Chandni Chowk Special,activity
banglore,14781.0,9h 30m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
banglore,10203.0,26h 55m,Air India Kolkata 1 stop CCU → DEL → BLR,flight
delhi,96840.0,4 nights,"The Imperial New Delhi - Superior Room with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.9/5 | Includes: Restaurant, Terrace",hotels
goa,2731.71,5h,Spice Plantation Tour with Traditional Goan Lunch,activity
new delhi,8662.0,4h 55m,IndiGo Banglore 1 stop BLR → IDR → DEL,flight
cochin,8614.0,8h 40m,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
hyderabad,35930.0,2 nights,"Park Hyatt Hyderabad - Superior Room with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Garden, Room Service, Swimming Pool",hotels
delhi,4823.0,2h 50m,IndiGo Banglore non-stop BLR → DEL,flight
delhi,66075.0,4 nights,"ITC Maurya - Garden View Room with Room Only | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Garden, Business Center, Spa, Kids Club",hotels
chennai,17864.0,1 nights,"The Leela Palace Chennai - Family Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Airport Shuttle, Free WiFi, Restaurant, Swimming Pool",hotels
hyderabad,54200.0,5 nights,"Novotel Hyderabad - Deluxe Room with Half Board | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Free WiFi, Business Center, Airport Shuttle",hotels
banglore,10703.0,18h,Jet Airways Kolkata 1 stop CCU → DEL → BLR,flight
delhi,42041.0,2 nights,"ITC Maurya - Garden View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Garden, Business Center, Kids Club, Fitness Center",hotels
cochin,0.0,4h 35m,IndiGo Delhi 1 stop DEL → LKO → COK,flight
agra,61220.0,7 nights,"Courtyard by Marriott - Pool View Room with Room Only | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Airport Shuttle, Swimming Pool",hotels
hyderabad,2017.0,1h 30m,SpiceJet Mumbai non-stop BOM → HYD,flight
banglore,53105.0,3 nights,"ITC Gardenia - Lake View Room with Room Only | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Fitness Center, Terrace",hotels
mumbai,15794.0,1 nights,"JW Marriott Mumbai - Superior Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Spa, Airport Shuttle",hotels
delhi,3943.0,2h 50m,IndiGo Banglore non-stop BLR → DEL,flight
hyderabad,0.0,1h 25m,SpiceJet Mumbai non-stop BOM → HYD,flight
banglore,0.0,8h 25m,Jet Airways Kolkata 1 stop CCU → DEL → BLR,flight
banglore,0.0,2h 35m,Air Asia Kolkata non-stop CCU → BLR,flight
banglore,41463.0,3 nights,"Sheraton Grand Bangalore - Deluxe Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Kids Club, Swimming Pool, Free WiFi, Bar",hotels
mumbai,24837.0,2 nights,"JW Marriott Mumbai - Standard Room with All Inclusive | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Terrace, Conference Rooms",hotels
banglore,3841.0,2h 30m,SpiceJet Kolkata non-stop CCU → BLR,flight
rishikesh,2424.95,3h,White Water Rafting (16km Shivpuri to Rishikesh),activity
mumbai,685.8,2h,Marine Drive Night Cycling with Refreshments,activity
banglore,23427.0,1 nights,"Taj West End - Family Room with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Restaurant, Bar, Parking",hotels
varanasi,548.2,1h,Morning Yoga & Meditation at Assi Ghat,activity
banglore,12219.0,20h,Air India Kolkata 2 stops CCU → BOM → AMD → BLR,flight
banglore,4409.0,2h 30m,Air Asia Kolkata non-stop CCU → BLR,flight
ladakh,4142.98,10h,Pangong Lake Day Trip via Chang La Pass,activity
kolkata,4326.0,2h 20m,IndiGo Chennai non-stop MAA → CCU,flight
banglore,4145.0,2h 35m,Air India Kolkata non-stop CCU → BLR,flight
cochin,14277.0,13h,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
delhi,97331.0,2 nights,"The Leela Palace New Delhi - Presidential Suite with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Spa, Parking, Bar",hotels
manali,690.48,1h 30m,Natural Hot Water Springs & Bath,activity
cochin,0.0,15h 25m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
rishikesh,0.0,1h,Evening Ganga Aarti at Triveni Ghat,activity
goa,34445.0,2 nights,"Alila Diwa Goa - Sea View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Free WiFi, Kids Club, Airport Shuttle",hotels
goa,8293.0,1 nights,"Novotel Goa - Pool View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Beach Access, Swimming Pool",hotels
goa,49102.0,2 nights,"Park Hyatt Goa - Mountain View Room with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Swimming Pool, Restaurant",hotels
banglore,4804.0,2h 45m,IndiGo Kolkata non-stop CCU → BLR,flight
cochin,10262.0,17h 20m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
delhi,106729.0,10 nights,"Radisson Blu Delhi - Standard Room with Half Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Parking, Business Center, Bar",hotels
manali,3392.37,2h,Skiing at Solang Valley with Equipment Rental,activity
udaipur,451.23,1h,Traditional Rajasthani Puppet Show,activity
cochin,561.27,1h,Chinese Fishing Nets Demonstration,activity
delhi,17997.0,1 nights,"ITC Maurya - Garden View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Restaurant, Fitness Center, Kids Club, Business Center",hotels
banglore,1864.82,2h,Microbrewery Tour with Tasting,activity
banglore,10031.0,14h 10m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
cochin,4729.0,3h 5m,IndiGo Delhi non-stop DEL → COK,flight
cochin,16079.0,6h 35m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
banglore,10953.0,25h 20m,Jet Airways Kolkata 1 stop CCU → DEL → BLR,flight
delhi,73751.0,4 nights,"Sheraton New Delhi - Pool View Room with Full Board | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Free WiFi, Beach Access",hotels
cochin,1464.87,3h,Jewish Synagogue & Dutch Palace Tour,activity
mumbai,48771.0,5 nights,"Hyatt Regency Mumbai - Mountain View Room with Room Only | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Fitness Center, Garden",hotels
mumbai,101625.0,3 nights,"Taj Mahal Palace Hotel - Standard Room with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Terrace, Business Center",hotels
banglore,0.0,22h 25m,Air India Kolkata 2 stops CCU → DEL → AMD → BLR,flight
manali,1185.5,4h,Hadimba Temple & Old Manali Guided Tour,activity
goa,69624.0,10 nights,"Novotel Goa - Standard Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Garden, Bar",hotels
rishikesh,4890.59,45m,Bungee Jumping at Mohan Chatti (India's Highest),activity
kerala,5323.43,8h,Backwater Houseboat Cruise with Kerala Lunch,activity
banglore,3873.0,2h 30m,SpiceJet Kolkata non-stop CCU → BLR,flight
new delhi,7240.0,2h 55m,Vistara Banglore non-stop BLR → DEL,flight
hyderabad,3100.0,1h 20m,Air India Mumbai non-stop BOM → HYD,flight
goa,25107.0,2 nights,"Holiday Inn Goa - Sea View Room with All Inclusive | Rating: ⭐⭐⭐⭐ 4.0/5 | Includes: Business Center, Free WiFi, Garden",hotels
cochin,15603.0,8h,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
cochin,16079.0,16h 45m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
kerala,1270.78,3h,Traditional Snake Boat Race Experience,activity
rishikesh,2169.53,3h,White Water Rafting (16km Shivpuri to Rishikesh),activity
mumbai,42859.0,2 nights,"Trident Nariman Point - Executive Room with Full Board | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Conference Rooms, Parking, Terrace, Business Center",hotels
kolkata,11982.0,2h 20m,Vistara Chennai non-stop MAA → CCU,flight
new delhi,12599.0,26h 20m,Air India Banglore 2 stops BLR → BOM → IDR → DEL,flight
cochin,11507.0,13h 30m,Jet Airways Delhi 2 stops DEL → IDR → BOM → COK,flight
delhi,4544.0,3h,Jet Airways Banglore non-stop BLR → DEL,flight
banglore,1724.91,2h,Microbrewery Tour with Tasting,activity
banglore,15532.0,20h 55m,Air India Kolkata 2 stops CCU → BOM → COK → BLR,flight
goa,49466.0,4 nights,"Kenilworth Resort Goa - Mountain View Room with All Inclusive | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Airport Shuttle, Swimming Pool",hotels
mumbai,2432.0,4h,Bollywood Studio Tour with Film Set Visit,activity
banglore,3809.0,4h 25m,IndiGo Kolkata 1 stop CCU → HYD → BLR,flight
banglore,16427.0,1 nights,"Vivanta Bengaluru - Deluxe Room with Half Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Free WiFi, Parking, Restaurant",hotels
rishikesh,1783.02,2h,Meditation & Yoga Retreat by Ganges,activity
cochin,15078.0,14h,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
jaipur,33851.0,2 nights,"Fairmont Jaipur - Family Room with Room Only | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Terrace, Swimming Pool, Fitness Center",hotels
cochin,8371.0,10h 30m,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
hyderabad,4995.0,1h 30m,Jet Airways Mumbai non-stop BOM → HYD,flight
delhi,13862.0,1 nights,"Radisson Blu Delhi - Sea View Room with Room Only | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Beach Access, Room Service, Parking, Swimming Pool",hotels
banglore,2680.9,3h,Pub Crawl in Indiranagar & Koramangala,activity
goa,25046.0,2 nights,"Alila Diwa Goa - Executive Room with Room Only | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Room Service, Spa",hotels
hyderabad,1965.0,1h 30m,SpiceJet Mumbai non-stop BOM → HYD,flight
cochin,1177.16,2h 30m,Fort Kochi Heritage Walking Tour,activity
ladakh,3407.3,10h,Pangong Lake Day Trip via Chang La Pass,activity
cochin,6316.0,10h 30m,IndiGo Delhi 1 stop DEL → BOM → COK,flight
agra,2450.55,6h,Fatehpur Sikri Day Trip with Guide,activity
delhi,43946.0,3 nights,"Radisson Blu Delhi - Sea View Room with Half Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Business Center, Airport Shuttle, Free WiFi",hotels
banglore,9397.0,27h 35m,Vistara Kolkata 1 stop CCU → DEL → BLR,flight
kerala,1807.82,4h,Tea Plantation Tour in Munnar with Tasting,activity
kerala,1335.68,3h,Traditional Snake Boat Race Experience,activity
kolkata,6482.0,2h 20m,IndiGo Chennai non-stop MAA → CCU,flight
agra,62740.0,10 nights,"DoubleTree by Hilton - Superior Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Fitness Center, Garden",hotels
hyderabad,1368.65,2h,Hyderabadi Biryani Tasting Experience,activity
new delhi,11654.0,14h 15m,Air India Banglore 1 stop BLR → BBI → DEL,flight
cochin,14714.0,15h 40m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
agra,14096.0,2 nights,"DoubleTree by Hilton - Superior Room with Full Board | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Kids Club, Conference Rooms, Garden, Airport Shuttle",hotels
banglore,0.0,2h 30m,SpiceJet Kolkata non-stop CCU → BLR,flight
cochin,7933.0,12h,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
kerala,7331.6,8h,Backwater Houseboat Cruise with Kerala Lunch,activity
jaipur,24585.0,2 nights,"Trident Jaipur - Garden View Room with Half Board | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Free WiFi, Bar, Garden",hotels
banglore,11467.0,9h 35m,Jet Airways Kolkata 1 stop CCU → DEL → BLR,flight
jaipur,1521.95,2h,Traditional Block Printing Workshop (Take Home Kit),activity
agra,1129.6,2h,Marble Inlay Art Workshop (Craft Your Own),activity
kolkata,645.79,2h,College Street Book Market Exploration,activity
hyderabad,1512.78,2h,Hyderabadi Biryani Tasting Experience,activity
new delhi,31783.0,25h 45m,Air India Banglore 2 stops BLR → BOM → NAG → DEL,flight
banglore,0.0,5h 45m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
banglore,3841.0,2h 25m,SpiceJet Kolkata non-stop CCU → BLR,flight
jaipur,1783.06,3h,Rajasthani Thali Cooking Class with Chef,activity
agra,1292.81,2h,Marble Inlay Art Workshop (Craft Your Own),activity
mumbai,2005.23,5h,Elephanta Caves Ferry & Guided Tour,activity
goa,19380.0,1 nights,"W Goa - Family Room with Room Only | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Parking, Kids Club",hotels
delhi,29465.0,2 nights,"Radisson Blu Delhi - Sea View Room with Full Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Restaurant, Business Center, Spa, Conference Rooms",hotels
banglore,14781.0,12h 20m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
mumbai,1729.6,3h,Street Food Crawl - South Mumbai Specialties,activity
cochin,10231.0,21h 15m,Air India Delhi 2 stops DEL → GOI → BOM → COK,flight
cochin,7005.0,9h 20m,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
chennai,132846.0,7 nights,"Park Hyatt Chennai - Pool View Room with All Inclusive | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Parking, Spa, Business Center",hotels
banglore,9689.0,7h 15m,Jet Airways Kolkata 1 stop CCU → GAU → BLR,flight
udaipur,1854.59,3h,Royal Rajasthani Cooking Class at Heritage Haveli,activity
cochin,9929.0,10h 15m,Air India Delhi 1 stop DEL → BOM → COK,flight
cochin,10368.0,8h 55m,Jet Airways Delhi 2 stops DEL → JAI → BOM → COK,flight
cochin,11546.0,19h,Jet Airways Delhi 2 stops DEL → LKO → BOM → COK,flight
chennai,47805.0,3 nights,"Park Hyatt Chennai - Standard Room with All Inclusive | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Free WiFi, Swimming Pool, Restaurant",hotels
hyderabad,5678.0,1h 30m,Jet Airways Mumbai non-stop BOM → HYD,flight
delhi,2381.95,4h,Qutub Minar & Humayun's Tomb Tour,activity
agra,4370.0,1 nights,"Hotel Taj Plaza - Garden View Room with All Inclusive | Rating: ⭐⭐⭐ 3.8/5 | Includes: Fitness Center, Terrace, Swimming Pool",hotels
udaipur,1517.59,3h,City Palace & Museum Guided Tour,activity
varanasi,1449.81,3h,Old Varanasi Walking Tour - Hidden Temples,activity
cochin,12373.0,5h 35m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
chennai,20588.0,1 nights,"Taj Coromandel - Superior Room with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Conference Rooms, Spa, Business Center",hotels
kolkata,1218.37,2h,Howrah Bridge & Flower Market Walk,activity
delhi,3898.0,2h 50m,GoAir Banglore non-stop BLR → DEL,flight
mumbai,16709.0,1 nights,"JW Marriott Mumbai - Mountain View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Bar, Restaurant, Room Service",hotels
delhi,1612.22,2h 30m,Auto Rickshaw Tour of Old Delhi,activity
rishikesh,1722.4,2h,Meditation & Yoga Retreat by Ganges,activity
varanasi,0.0,1h,Evening Ganga Aarti Ceremony at Dashashwamedh Ghat,activity
delhi,0.0,2h 55m,Jet Airways Banglore non-stop BLR → DEL,flight
kolkata,3072.97,4h,Durga Puja Pandals Tour (Seasonal),activity
new delhi,11948.0,35h 5m,Air India Banglore 2 stops BLR → CCU → GAU → DEL,flight
cochin,6147.0,5h 10m,IndiGo Delhi 1 stop DEL → BLR → COK,flight
banglore,219542.0,10 nights,"Taj West End - Mountain View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Bar, Garden, Beach Access",hotels
varanasi,0.0,1h,Evening Ganga Aarti Ceremony at Dashashwamedh Ghat,activity
agra,1150.31,2h,Moonlight Garden View of Taj Mahal,activity
delhi,62629.0,2 nights,"Taj Palace - Suite with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Parking, Restaurant, Room Service, Business Center",hotels
delhi,0.0,2h 50m,Vistara Banglore non-stop BLR → DEL,flight
cochin,1104.45,2h,Kathakali Makeup & Performance Session,activity
cochin,9564.0,3h 15m,Jet Airways Delhi non-stop DEL → COK,flight
kerala,615.09,2h,Kathakali Dance Performance with Makeup Demo,activity
delhi,3383.0,2h 45m,Air Asia Banglore non-stop BLR → DEL,flight
hyderabad,1361.48,3h,Charminar & Laad Bazaar Shopping Tour,activity
banglore,1815.1,4h,Tech Park Tour - Silicon Valley of India,activity
cochin,1424.29,3h,Jewish Synagogue & Dutch Palace Tour,activity
delhi,11205.0,1 nights,"The Lalit New Delhi - Garden View Room with Half Board | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Room Service, Bar",hotels
mumbai,59868.0,2 nights,"Trident Nariman Point - Suite with Half Board | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Garden, Parking, Free WiFi, Airport Shuttle",hotels
new delhi,5088.0,2h 35m,Vistara Banglore non-stop BLR → DEL,flight
agra,116570.0,2 nights,"Oberoi Amarvilas - Deluxe Room with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.9/5 | Includes: Spa, Beach Access, Conference Rooms, Room Service",hotels
agra,1139.4,2h,Moonlight Garden View of Taj Mahal,activity
cochin,13538.0,18h 20m,Air India Delhi 2 stops DEL → UDR → BOM → COK,flight
banglore,11467.0,21h 25m,Jet Airways Kolkata 1 stop CCU → DEL → BLR,flight
goa,39208.0,3 nights,"Alila Diwa Goa - Deluxe Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Beach Access, Business Center",hotels
goa,8204.0,1 nights,"Kenilworth Resort Goa - Superior Room with Room Only | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Beach Access, Restaurant, Business Center",hotels
chennai,10390.0,1 nights,"Hilton Chennai - Superior Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Kids Club, Terrace",hotels
rishikesh,1856.62,2h,Meditation & Yoga Retreat by Ganges,activity
agra,1210.85,2h,Marble Inlay Art Workshop (Craft Your Own),activity
